Title,Address,Latitude,Longitude,Found Address,Match Quality,Source
Sucre,"Sucre, Cauca",2.038267,-76.9254349,"Sucre, Bolívar, Cauca Department, Colombia",Match,Google
Mercaderes,"Mercaderes, Cauca",1.795801,-77.163397,"Mercaderes, Cauca Department, Colombia",Match,Google
